bioproject,tax_id,metadata_field,metadata_value,status,runtime_seconds,memory_usage_bytes,num_true,num_false,mean_rpm_true,mean_rpm_false,sd_rpm_true,sd_rpm_false,fold_change,test_statistic,p_value,true_biosamples,false_biosamples
PRJNA776391,10368,title; organism_taxonomy_name; organism_taxonomy_id,Model organism or animal sample from Eospalax rothschildi; Eospalax rothschildi; 146136,permutation_test,0.15713739395141602, 13982973,5,47,0.0009513016553528757,0.3706419409727579,0.0019026033107057514,1.2550509745597103,-8.605907538663867,-0.369690639317405,0.05599440055994401,,
PRJNA776391,10368,title; organism_taxonomy_name; organism_taxonomy_id,Model organism or animal sample from Eospalax rufescens; Eospalax rufescens; 146137,permutation_test; significant,0.15697598457336426, 13982973,6,46,2.5264937349801015,0.04926011574164738,2.6350587477518768,0.09521193686201072,5.680572774642778,2.4772336192384543,0.00019998000199980003,SAMN22787313; SAMN22787314; SAMN22787315; SAMN22787316; SAMN22787317; SAMN22787318,SAMN22787278; SAMN22787279; SAMN22787280; SAMN22787281; SAMN22787282; SAMN22787283; SAMN22787284; SAMN22787285; SAMN22787286; SAMN22787287; SAMN22787288; SAMN22787289; SAMN22787290; SAMN22787291; SAMN22787292; SAMN22787293; SAMN22787294; SAMN22787295; SAMN22787296; SAMN22787297; SAMN22787298; SAMN22787299; SAMN22787300; SAMN22787301; SAMN22787302; SAMN22787303; SAMN22787304; SAMN22787305; SAMN22787306; SAMN22787307; SAMN22787308; SAMN22787309; SAMN22787310; SAMN22787311; SAMN22787312; SAMN22787319; SAMN22787320; SAMN22787321; SAMN22787322; SAMN22787323; SAMN22787324; SAMN22787325; SAMN22787326; SAMN22787327; SAMN22787328; SAMN22787329
PRJNA776391,10368,title; organism_taxonomy_name; organism_taxonomy_id,Model organism or animal sample from Eospalax smithii; Eospalax smithii; 444095,permutation_test,0.18337345123291016, 13983005,5,47,0.2562938748082896,0.34347783744584975,0.08197709604551705,1.2597019501538604,-0.42241801369756404,-0.08718396263756018,0.5297470252974702,,
PRJNA776391,10368,title; organism_taxonomy_name; organism_taxonomy_id,Model organism or animal sample from Myospalax aspalax; Myospalax aspalax; 213498,t_test,0.005586147308349609, 66925,3,49,0.0,0.35561077008155895,0.0,1.2313288434955603,negative inf,-2.0216170552004846,0.04881023185358452,,
PRJNA776391,10368,title; organism_taxonomy_name; organism_taxonomy_id,Model organism or animal sample from Myospalax psilurus; Myospalax psilurus; 146129,t_test,0.005428791046142578, 67081,2,50,0.15998113794059635,0.3420993091623039,0.15705939743780736,1.220956487237581,-1.0965133718808535,-0.8870786061058025,0.39502423561098965,,
PRJNA776391,10368,ecotype,Eospalax fontanierii,permutation_test,0.15785956382751465, 13982973,8,44,0.008162559381485893,0.39453698315782953,0.005986072963914269,1.2936823995464344,-5.5949951497798605,-0.3863744237763436,0.06379362063793621,,
PRJNA776391,10368,ecotype,Eospalax fontanierii baileyi,permutation_test,0.15819430351257324, 13982941,15,37,0.015016840447921813,0.46485608452101507,0.024948878698537142,1.3996212265129093,-4.952130933258867,-0.4498392440730933,0.012998700129987,,
PRJNA776391,10368,ecotype,Eospalax fontanierii cansus,permutation_test,0.15537524223327637, 13983005,7,45,0.052746297735093824,0.3790156366633496,0.06869404847482863,1.2821160599514958,-2.845115629769712,-0.32626933892825577,0.5567443255674432,,
PRJNA746290,10368,organism_taxonomy_name; title; organism_taxonomy_id,human blood metagenome; MIMS Environmental/Metagenome sample from human blood metagenome; 1504969,permutation_test,0.6532928943634033, 452552605,114,1765,0.00034470030551064107,0.02617807792491166,0.0020972411624721665,0.44464536814740563,-6.2468727864562945,-0.025833377619401018,0.6073392660733926,,
PRJNA746290,10368,organism_taxonomy_name; title; organism_taxonomy_id,human metagenome; MIMS Environmental/Metagenome sample from human metagenome; 646099,permutation_test,0.6427507400512695, 452551153,1765,114,0.02617807792491166,0.00034470030551064107,0.44464536814740563,0.0020972411624721665,6.2468727864562945,0.025833377619401018,0.6059394060593941,,
PRJNA746290,10368,geo_loc_name,Germany,permutation_test,0.7006258964538574, 452551993,1868,11,0.024749048318521007,0.0011255557545500612,0.43225356659017217,0.0035593198178876222,4.458663622177355,0.023623492563970946,0.406959304069593,,
PRJNA746290,10368,geo_loc_name; collection_date,USA: Cleveland; 2018.0,permutation_test,0.7478675842285156, 452551949,11,1868,0.0011255557545500612,0.024749048318521007,0.0035593198178876222,0.43225356659017217,-4.458663622177355,-0.023623492563970946,0.40655934406559346,,
PRJNA746290,10368,collection_date,2005.0,permutation_test,0.7397351264953613, 452551997,10,1869,0.0013584628677488038,0.024735162516650512,0.004075388603246411,0.4321383099582642,-4.186516341864587,-0.023376699648901707,0.27997200279972,,
PRJNA746290,10368,collection_date,2006.0,permutation_test,0.735506534576416, 452552281,44,1835,0.00020300263553043642,0.025196006134241937,0.001331177302762122,0.43611007760521237,-6.955552799683814,-0.0249930034987115,0.6125387461253875,,
PRJNA746290,10368,collection_date,2007.0,permutation_test,0.7598226070404053, 452551069,117,1762,0.12914204423513,0.017669684561173144,1.1323191950565321,0.3349273921409879,2.869610579037748,0.11147235967395687,0.05399460053994601,,
PRJNA746290,10368,collection_date,2008.0,permutation_test; significant,0.7101562023162842, 452551853,202,1677,4.374056860556183e-05,0.02756992711832974,0.0006201295878520151,0.4561202184438617,-9.299907763397755,-0.027526186549724177,0.004199580041995801,too many biosamples to list,too many biosamples to list
PRJNA746290,10368,collection_date,2009.0,permutation_test,0.693361759185791, 452552521,272,1607,0.05832681895019382,0.018903987938920085,0.6522709225364828,0.380730065347067,1.6254687800973335,0.03942283101127374,0.20617938206179381,,
PRJNA746290,10368,collection_date,2010.0,permutation_test,0.6439330577850342, 452550889,298,1581,0.04255034824868876,0.021229348256918436,0.5131294189184041,0.41359817878003113,1.0031108584965645,0.021320999991770322,0.42715728427157285,,
PRJNA746290,10368,collection_date,2011.0,permutation_test,0.6040081977844238, 452552201,267,1612,0.008371079983094387,0.027300573831768666,0.09730573177396203,0.463573277644206,-1.7054456083595126,-0.01892949384867428,0.7587241275872413,,
PRJNA746290,10368,collection_date,2012.0,permutation_test,0.6197960376739502, 452552141,255,1624,0.0006742395772957609,0.028369256330102753,0.003201952703659808,0.46348007531316837,-5.394923207373365,-0.027695016752806993,0.5225477452254774,,
PRJNA746290,10368,collection_date,2013.0,permutation_test,0.8688304424285889, 452551021,120,1759,0.00024644202009380914,0.026272899562186494,0.0015632735839114689,0.44540024946531376,-6.736183352889558,-0.026026457542092686,0.38036196380361964,,
PRJNA746290,10368,collection_date,2014.0,permutation_test,0.6894223690032959, 452551181,134,1745,0.0003033758611094053,0.026477335820578013,0.0020057853060542435,0.4471773594586846,-6.447507855256147,-0.02617395995946861,0.44915508449155084,,
